SITE_NAME,BEGIN,END,KWH_PERIOD,PERIOD_EUR,NB_OF_INVOICES,DUREE,KWH,CONSOMMATION
0001BB,2018-01-01,2018-01-31,2 447,"316,46",35,30,2447,81.56666666666666
0001BB,2018-01-02,2018-02-28,2 211,"286,82",35,57,2211,38.78947368421053
0001BB,2018-01-03,2018-03-31,2 450,"317,32",35,87,2450,28.160919540229884
0001BB,2018-01-04,2018-04-30,2 431,"315,00",35,116,2431,20.95689655172414
0001BB,2018-01-05,2018-05-31,2 574,"333,37",35,146,2574,17.63013698630137
0001BB,2018-01-06,2018-06-30,2 830,"365,27",35,175,2830,16.17142857142857
0001BB,2018-01-07,2018-07-31,3 028,"390,39",35,205,3028,14.770731707317074
0001BB,2018-01-08,2018-08-31,3 053,"393,99",35,235,3053,12.991489361702127
0001BB,2018-01-09,2018-09-30,2 915,"378,35",35,264,2915,11.041666666666666
0001BB,2018-01-10,2018-10-31,2 986,"387,05",35,294,2986,10.156462585034014
0001BB,2018-01-11,2018-11-30,2 871,"372,47",35,323,2871,8.888544891640867
0001BB,2018-01-12,2018-12-31,3 086,"399,30",35,353,3086,8.742209631728045
0001BB,2019-01-01,2019-01-31,3 094,"381,40",35,30,3094,103.13333333333334
0001BB,2019-01-02,2019-02-28,2 767,"345,87",35,57,2767,48.54385964912281
0001BB,2019-01-03,2019-03-31,3 059,"378,18",35,87,3059,35.160919540229884
0001BB,2019-01-04,2019-04-30,2 761,"340,84",35,116,2761,23.801724137931036
0001BB,2019-01-05,2019-05-31,2 844,"349,26",35,146,2844,19.47945205479452
0001BB,2019-01-06,2019-06-30,3 009,"369,19",35,175,3009,17.194285714285716
0001BB,2019-01-07,2019-07-31,3 016,"371,20",35,205,3016,14.71219512195122
0001BB,2019-01-08,2019-08-31,3 089,"380,42",35,235,3089,13.14468085106383
0001BB,2019-01-09,2019-09-30,2 914,"361,36",35,264,2914,11.037878787878787
0001BB,2019-01-10,2019-10-31,2 963,"366,70",35,294,2963,10.078231292517007
0001BB,2019-01-11,2019-11-30,2 797,"345,89",35,323,2797,8.659442724458204
0001BB,2019-01-12,2019-12-31,2 859,"353,08",35,353,2859,8.09915014164306
0001BB,2020-01-01,2020-01-31,2 863,"414,93",35,30,2863,95.43333333333334
0001BB,2020-01-02,2020-02-29,2 663,"387,22",35,58,2663,45.91379310344828
0001BB,2020-01-03,2020-03-31,2 759,"403,25",35,88,2759,31.352272727272727
0001BB,2020-01-04,2020-04-30,2 680,"390,79",35,117,2680,22.905982905982906
0001BB,2020-01-05,2020-05-31,2 797,"407,48",35,147,2797,19.027210884353742
0001BB,2020-01-06,2020-06-30,2 796,"407,77",35,176,2796,15.886363636363637
0001BB,2020-01-07,2020-07-31,2 952,"429,09",35,206,2952,14.330097087378642
0001BB,2020-01-08,2020-08-31,3 014,"435,98",35,236,3014,12.771186440677965
0001BB,2020-01-09,2020-09-30,2 857,"411,97",35,265,2857,10.781132075471698
0001BB,2020-01-10,2020-10-31,2 905,"413,41",35,295,2905,9.847457627118644
0001BB,2020-01-11,2020-11-30,2 755,"383,02",35,324,2755,8.503086419753087
0001BR,2018-01-01,2018-01-31,2 438,"266,43",35,30,2438,81.26666666666667
0001BR,2018-01-02,2018-02-28,2 211,"242,33",35,57,2211,38.78947368421053
0001BR,2018-01-03,2018-03-31,2 453,"267,95",35,87,2453,28.195402298850574
0001BR,2018-01-04,2018-04-30,2 414,"263,78",35,116,2414,20.810344827586206
0001BR,2018-01-05,2018-05-31,2 517,"274,62",35,146,2517,17.23972602739726
0001BR,2018-01-06,2018-06-30,2 461,"268,63",35,175,2461,14.062857142857142
0001BR,2018-01-07,2018-07-31,2 560,"279,26",35,205,2560,12.487804878048781
0001BR,2018-01-08,2018-08-31,2 597,"283,07",35,235,2597,11.051063829787234
0001BR,2018-01-09,2018-09-30,2 436,"267,99",35,264,2436,9.227272727272727
0001BR,2018-01-10,2018-10-31,2 497,"274,50",35,294,2497,8.493197278911564
0001BR,2018-01-11,2018-11-30,2 397,"263,82",35,323,2397,7.421052631578948
0001BR,2018-01-12,2018-12-31,2 452,"269,69",35,353,2452,6.946175637393767
0001BR,2019-01-01,2019-01-31,2 460,"264,03",35,30,2460,82.0
0001BR,2019-01-02,2019-02-28,2 229,"239,96",35,57,2229,39.10526315789474
0001BR,2019-01-03,2019-03-31,2 475,"265,56",35,87,2475,28.448275862068964
0001BR,2019-01-04,2019-04-30,2 410,"258,76",35,116,2410,20.775862068965516
0001BR,2019-01-05,2019-05-31,2 508,"268,92",35,146,2508,17.17808219178082
0001BR,2019-01-06,2019-06-30,2 529,"270,94",35,175,2529,14.451428571428572
0001BR,2019-01-07,2019-07-31,2 593,"277,63",35,205,2593,12.648780487804878
0001BR,2019-01-08,2019-08-31,2 603,"278,60",35,235,2603,11.076595744680851
0001BR,2019-01-09,2019-09-30,2 595,"277,20",35,264,2595,9.829545454545455
0001BR,2019-01-10,2019-10-31,2 708,"288,79",35,294,2708,9.210884353741497
0001BR,2019-01-11,2019-11-30,2 595,"277,07",35,323,2595,8.034055727554179
0001BR,2019-01-12,2019-12-31,2 648,"282,57",35,353,2648,7.501416430594901
